attempt,round,action,lives,lives_lost,cash
1,1,place,200,0,650
1,2,upgrade,193,7,444
1,3,none,193,0,371
1,4,none,191,2,507
1,5,place,181,10,672
1,6,none,179,2,409
1,7,none,175,4,568
1,8,place,165,10,740
1,9,none,165,0,640
1,10,none,165,0,839
1,11,none,165,0,1153
1,12,none,165,0,1342
1,13,none,165,0,1534
1,14,none,165,0,1816
1,15,none,165,0,2075
1,16,place,156,9,2332
1,17,none,156,0,2260
1,18,upgrade,148,8,2421
1,19,none,148,0,2589
1,19,none,148,0,2589
1,20,none,145,3,2846
1,20,none,145,3,2846
1,21,none,145,0,3032
1,21,none,145,0,3032
1,22,place,135,10,3373
1,22,upgrade,135,10,3373
1,23,place,84,51,2220
1,24,upgrade,78,6,1851
1,25,none,75,3,1590
1,26,none,75,0,1925
1,27,upgrade,36,39,2219
1,28,none,36,0,2456
1,29,none,36,0,2722
1,29,none,36,0,2722
1,30,none,36,0,3111
1,30,none,36,0,3111
1,31,none,36,0,3448
1,31,none,36,0,3448
2,1,place,200,0,650
2,2,none,200,0,301
2,3,none,200,0,438
2,4,none,200,0,576
2,5,none,200,0,751
2,6,none,200,0,915
2,7,none,200,0,1078
2,8,none,197,3,1257
2,9,upgrade,188,9,1448
2,10,none,188,0,1097
2,11,none,188,0,1411
2,12,upgrade,185,3,1597
2,13,none,185,0,1409
2,14,place,183,2,1689
2,15,place,183,0,1628
2,16,place,183,0,1619
2,17,none,183,0,867
2,18,none,182,1,1031
2,19,none,182,0,1389
2,20,upgrade,172,10,1639
2,21,none,172,0,1570
2,22,upgrade,158,14,1907
2,23,place,153,5,1945
2,24,none,153,0,1752
2,25,none,150,3,1916
2,26,place,141,9,2242
2,27,none,141,0,1555
2,28,none,141,0,2217
2,29,none,141,0,2483
2,30,none,141,0,2872
2,30,none,141,0,2872
2,31,none,141,0,3209
2,31,none,141,0,3209
2,32,upgrade,99,42,3704
2,32,upgrade,99,42,3704
2,33,upgrade,66,33,3448
2,33,upgrade,66,33,3448
3,1,place,200,0,650
3,2,none,200,0,301
3,3,none,200,0,438
3,4,none,200,0,576
3,5,none,200,0,751
3,6,place,186,14,901
3,7,none,186,0,724
3,8,none,186,0,906
3,9,none,186,0,1106
3,10,none,186,0,1305
3,11,none,186,0,1619
3,12,none,186,0,1808
3,13,none,186,0,2000
3,14,none,186,0,2282
3,15,place,182,4,2537
3,15,upgrade,182,4,2537
3,16,place,176,6,2552
3,16,upgrade,176,6,2552
3,17,place,171,5,1585
3,18,none,171,0,1475
3,19,none,171,0,1833
3,20,none,168,3,2090
3,21,none,168,0,2276
3,22,place,140,28,2599
3,22,upgrade,140,28,2599
3,23,upgrade,132,8,2379
3,24,none,132,0,2106
3,25,none,132,0,2273
3,26,none,128,4,2604
3,26,upgrade,128,4,2604
3,27,upgrade,124,4,2678
3,27,upgrade,124,4,2678
3,28,upgrade,112,12,2733
3,28,upgrade,112,12,2733
3,29,upgrade,112,0,2669
3,29,upgrade,112,0,2669
3,30,none,112,0,1528
3,31,none,112,0,1865
3,32,upgrade,69,43,2397
3,33,none,69,0,2599
3,33,none,69,0,2599
3,34,none,69,0,2804
3,34,none,69,0,2804
3,35,none,67,2,3714
3,35,none,67,2,3714
4,1,place,200,0,650
4,2,place,200,0,301
4,3,none,200,0,218
4,4,none,200,0,356
4,5,none,199,1,530
4,6,none,198,1,693
4,7,none,198,0,856
4,8,none,198,0,1038
4,9,none,196,2,1236
4,10,none,193,3,1432
4,11,none,193,0,1746
4,12,place,191,2,1933
4,13,none,191,0,1805
4,14,none,191,0,2087
4,15,none,191,0,2346
4,16,place,181,10,2602
4,16,upgrade,181,10,2602
4,17,upgrade,179,2,2318
4,18,upgrade,157,22,2299
4,19,upgrade,157,0,2402
4,20,upgrade,148,9,2445
4,21,upgrade,140,8,2498
4,22,upgrade,129,11,2628
4,22,place,129,11,2628
4,23,none,129,0,1991
4,24,place,122,7,2261
4,25,none,122,0,2088
4,26,none,122,0,2423
4,27,none,122,0,2756
4,27,none,122,0,2756
4,28,none,122,0,3418
4,28,none,122,0,3418
4,29,none,122,0,3684
4,29,none,122,0,3684
4,30,none,122,0,4073
4,30,none,122,0,4073
4,31,none,119,3,4407
4,31,none,119,3,4407
4,32,upgrade,103,16,4928
4,32,upgrade,103,16,4928
4,33,none,103,0,4750
4,33,none,103,0,4750
4,34,none,103,0,4955
4,34,none,103,0,4955
4,35,none,101,2,5865
4,35,none,101,2,5865
4,35,none,101,2,5865
4,36,upgrade,80,21,6994
4,36,upgrade,80,21,6994
4,36,upgrade,80,21,6994
4,37,place,61,19,7243
4,37,upgrade,61,19,7243
4,37,upgrade,61,19,7243
4,38,none,61,0,6142
4,38,none,61,0,6142
4,38,place,61,0,6142
4,39,none,61,0,7199
4,39,none,61,0,7199
4,39,none,61,0,7199
5,1,place,200,0,650
5,2,none,200,0,496
5,3,none,200,0,633
5,4,none,200,0,771
5,5,place,178,22,924
5,6,none,178,0,768
5,7,none,178,0,931
5,8,none,178,0,1113
5,9,upgrade,169,9,1304
5,10,upgrade,127,42,1291
5,11,none,127,0,1350
5,12,upgrade,125,2,1537
5,13,upgrade,114,11,1508
5,14,none,114,0,1535
5,15,none,112,2,1792
5,16,place,84,28,2030
5,17,upgrade,72,12,1266
5,18,place,48,24,1204
5,19,none,48,0,1222
5,20,upgrade,38,10,1472
5,21,none,38,0,1472
5,22,none,38,0,1329
5,23,none,38,0,1627
5,24,none,38,0,1904
5,25,none,38,0,2071
5,26,none,38,0,2406
5,27,none,38,0,2739
5,27,none,38,0,2739
5,28,none,38,0,3401
5,28,none,38,0,3401
6,1,place,200,0,650
6,2,none,200,0,451
6,3,none,200,0,588
6,4,none,200,0,726
6,5,none,200,0,901
6,6,none,200,0,1065
6,7,place,191,9,1219
6,8,none,191,0,1131
6,9,none,191,0,1331
6,10,none,190,1,1529
6,11,none,190,0,1843
6,12,none,190,0,2032
6,13,none,190,0,2224
6,14,none,189,1,2505
6,14,none,189,1,2505
6,15,upgrade,164,25,2739
6,15,place,164,25,2739
6,16,place,143,21,2544
6,16,upgrade,143,21,2544
6,17,none,143,0,2287
6,18,none,143,0,2452
6,19,none,143,0,2810
6,19,none,143,0,2810
